satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,Quit_the_Company,promotion_last_5years,Departments,salary,employee_id
0.38,0.53,2,157,3,0,1,0,sales,low,EMP00001
0.8,0.86,5,262,6,0,1,0,sales,medium,EMP00002
0.11,0.88,7,272,4,0,1,0,sales,medium,EMP00003
0.72,0.87,5,223,5,0,1,0,sales,low,EMP00004
0.37,0.52,2,159,3,0,1,0,sales,low,EMP00005
0.41,0.5,2,153,3,0,1,0,sales,low,EMP00006
0.1,0.77,6,247,4,0,1,0,sales,low,EMP00007
0.92,0.85,5,259,5,0,1,0,sales,low,EMP00008
0.89,1,5,224,5,0,1,0,sales,low,EMP00009
0.42,0.53,2,142,3,0,1,0,sales,low,EMP00010
0.45,0.54,2,135,3,0,1,0,sales,low,EMP00011
0.11,0.81,6,305,4,0,1,0,sales,low,EMP00012
0.84,0.92,4,234,5,0,1,0,sales,low,EMP00013
0.41,0.55,2,148,3,0,1,0,sales,low,EMP00014
0.36,0.56,2,137,3,0,1,0,sales,low,EMP00015
0.38,0.54,2,143,3,0,1,0,sales,low,EMP00016
0.45,0.47,2,160,3,0,1,0,sales,low,EMP00017
0.78,0.99,4,255,6,0,1,0,sales,low,EMP00018
0.45,0.51,2,160,3,1,1,1,sales,low,EMP00019
0.76,0.89,5,262,5,0,1,0,sales,low,EMP00020
0.11,0.83,6,282,4,0,1,0,sales,low,EMP00021
0.38,0.55,2,147,3,0,1,0,sales,low,EMP00022
0.09,0.95,6,304,4,0,1,0,sales,low,EMP00023
0.46,0.57,2,139,3,0,1,0,sales,low,EMP00024
0.4,0.53,2,158,3,0,1,0,sales,low,EMP00025
0.89,0.92,5,242,5,0,1,0,sales,low,EMP00026
0.82,0.87,4,239,5,0,1,0,sales,low,EMP00027
0.4,0.49,2,135,3,0,1,0,sales,low,EMP00028
0.41,0.46,2,128,3,0,1,0,accounting,low,EMP00029
0.38,0.5,2,132,3,0,1,0,accounting,low,EMP00030
0.09,0.62,6,294,4,0,1,0,accounting,low,EMP00031
0.45,0.57,2,134,3,0,1,0,hr,low,EMP00032
0.4,0.51,2,145,3,0,1,0,hr,low,EMP00033
0.45,0.55,2,140,3,0,1,0,hr,low,EMP00034
0.84,0.87,4,246,6,0,1,0,hr,low,EMP00035
0.1,0.94,6,255,4,0,1,0,technical,low,EMP00036
0.38,0.46,2,137,3,0,1,0,technical,low,EMP00037
0.45,0.5,2,126,3,0,1,0,technical,low,EMP00038
0.11,0.89,6,306,4,0,1,0,technical,low,EMP00039
0.41,0.54,2,152,3,0,1,0,technical,low,EMP00040
0.87,0.88,5,269,5,0,1,0,technical,low,EMP00041
0.45,0.48,2,158,3,0,1,0,technical,low,EMP00042
0.4,0.46,2,127,3,0,1,0,technical,low,EMP00043
0.1,0.8,7,281,4,0,1,0,technical,low,EMP00044
0.09,0.89,6,276,4,0,1,0,technical,low,EMP00045
0.84,0.74,3,182,4,0,1,0,technical,low,EMP00046
0.4,0.55,2,147,3,0,1,0,support,low,EMP00047
0.57,0.7,3,273,6,0,1,0,support,low,EMP00048
0.4,0.54,2,148,3,0,1,0,support,low,EMP00049
0.43,0.47,2,147,3,0,1,0,support,low,EMP00050
0.13,0.78,6,152,2,0,1,0,support,low,EMP00051
0.44,0.55,2,135,3,0,1,0,support,low,EMP00052
0.38,0.55,2,134,3,0,1,0,support,low,EMP00053
0.39,0.54,2,132,3,0,1,0,support,low,EMP00054
0.1,0.92,7,307,4,0,1,0,support,low,EMP00055
0.37,0.46,2,140,3,0,1,0,support,low,EMP00056
0.11,0.94,7,255,4,0,1,0,support,low,EMP00057
0.1,0.81,6,309,4,0,1,0,technical,low,EMP00058
0.38,0.54,2,128,3,0,1,0,technical,low,EMP00059
0.85,1,4,225,5,0,1,0,technical,low,EMP00060
0.85,0.91,5,226,5,0,1,0,management,medium,EMP00061
0.11,0.93,7,308,4,0,1,0,IT,medium,EMP00062
0.1,0.95,6,244,5,0,1,0,IT,medium,EMP00063
0.36,0.56,2,132,3,0,1,0,IT,medium,EMP00064
0.11,0.94,6,286,4,0,1,0,IT,medium,EMP00065
0.81,0.7,6,161,4,0,1,0,IT,medium,EMP00066
0.43,0.54,2,153,3,0,1,0,product_mng,medium,EMP00067
0.9,0.98,4,264,6,0,1,0,product_mng,medium,EMP00068
0.76,0.86,5,223,5,1,1,0,product_mng,medium,EMP00069
0.43,0.5,2,135,3,0,1,0,product_mng,medium,EMP00070
0.74,0.99,2,277,3,0,1,0,IT,medium,EMP00071
0.09,0.77,5,275,4,0,1,0,product_mng,medium,EMP00072
0.45,0.49,2,149,3,0,1,0,product_mng,high,EMP00073
0.09,0.87,7,295,4,0,1,0,product_mng,low,EMP00074
0.11,0.97,6,277,4,0,1,0,product_mng,medium,EMP00075
0.11,0.79,7,306,4,0,1,0,product_mng,medium,EMP00076
0.1,0.83,6,295,4,0,1,0,product_mng,medium,EMP00077
0.4,0.54,2,137,3,0,1,0,marketing,medium,EMP00078
0.43,0.56,2,157,3,0,1,0,sales,low,EMP00079
0.39,0.56,2,142,3,0,1,0,accounting,low,EMP00080
0.45,0.54,2,140,3,0,1,0,support,low,EMP00081
0.38,0.49,2,151,3,0,1,0,technical,low,EMP00082
0.79,0.59,4,139,3,0,1,1,management,low,EMP00083
0.84,0.85,4,249,6,0,1,0,marketing,low,EMP00084
0.11,0.77,6,291,4,0,1,0,marketing,low,EMP00085
0.11,0.87,6,305,4,0,1,0,marketing,low,EMP00086
0.17,0.84,5,232,3,0,1,0,sales,low,EMP00087
0.44,0.45,2,132,3,0,1,0,sales,low,EMP00088
0.37,0.57,2,130,3,0,1,0,sales,low,EMP00089
0.1,0.79,6,291,4,0,1,0,sales,low,EMP00090
0.4,0.5,2,130,3,0,1,0,sales,low,EMP00091
0.89,1,5,246,5,0,1,0,sales,low,EMP00092
0.42,0.48,2,143,3,0,1,0,sales,low,EMP00093
0.46,0.55,2,129,3,0,1,0,sales,low,EMP00094
0.09,0.83,6,255,4,0,1,0,sales,low,EMP00095
0.37,0.51,2,155,3,0,1,0,sales,low,EMP00096
0.1,0.77,6,265,4,0,1,0,sales,low,EMP00097
