satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,Quit_the_Company,promotion_last_5years,Departments,salary,employee_id
0.880566946,0.213570618,2,274,3,0,0,0,technical,low,NE15005
0.675486326,0.311071541,6,270,3,0,0,0,accounting,low,NE15006
0.691851001,0.389108732,6,207,2,1,0,0,technical,low,NE15007
0.411792167,0.085821042,5,201,3,0,0,0,RandD,high,NE15008
0.22762496,0.248690957,6,135,4,1,0,0,sales,high,NE15009
0.279294265,0.031493743,3,140,2,1,0,0,accounting,medium,NE15010
0.921736209,0.641334808,5,184,2,1,0,0,support,medium,NE15011
0.649432473,0.929682075,3,275,2,1,0,0,support,low,NE15012
0.465965762,0.023904055,4,143,3,0,0,0,support,high,NE15013
0.331689759,0.84795323,6,151,4,0,0,0,IT,low,NE15014
0.468433604,0.169658921,5,303,4,0,0,0,IT,low,NE15015
0.321125258,0.975135938,4,261,4,0,0,0,hr,medium,NE15016
0.518926855,0.049428787,4,143,3,1,0,0,IT,medium,NE15017
0.40882711,0.304253893,4,200,5,0,0,1,product_mng,medium,NE15018
0.505348332,0.025073522,3,273,2,1,0,0,hr,high,NE15019
0.417362818,0.278315787,6,236,2,0,0,0,sales,high,NE15020
0.382647774,0.434348361,4,260,3,1,0,0,hr,low,NE15021
0.769474334,0.107043082,5,195,3,1,0,0,marketing,low,NE15022
0.21912661,0.843908096,4,241,6,1,0,0,management,low,NE15023
0.778983106,0.553756209,5,143,4,0,0,0,hr,high,NE15024
0.948175334,0.822795829,3,253,3,0,0,0,technical,high,NE15025
0.457109428,0.797262409,5,181,2,1,0,0,support,medium,NE15026
0.079142187,0.082327422,5,171,3,0,0,0,management,high,NE15027
0.056697407,0.147056371,3,158,4,1,0,0,product_mng,low,NE15028
0.519621517,0.998393833,2,206,4,1,0,0,management,high,NE15029
0.761428611,0.403896413,3,182,3,0,0,0,technical,medium,NE15030
0.131742252,0.295623709,3,238,6,1,0,0,support,high,NE15031
0.554545507,0.191776537,4,162,3,0,0,0,marketing,high,NE15032
0.564433469,0.233423751,3,225,5,0,0,0,technical,medium,NE15033
0.827268223,0.779616305,7,224,2,0,0,0,sales,low,NE15034
0.555186194,0.555948867,2,187,3,0,0,0,RandD,medium,NE15035
0.088118114,0.626649167,3,264,2,1,0,0,management,medium,NE15036
0.750555461,0.676731916,2,240,3,0,0,0,technical,low,NE15037
0.627046232,0.160653138,2,227,10,1,0,0,sales,low,NE15038
0.619263513,0.758331493,5,259,3,1,0,0,RandD,medium,NE15039
0.509264995,0.457986056,2,246,3,0,0,0,management,high,NE15040
0.647782683,0.923555424,5,137,5,1,0,0,technical,high,NE15041
0.45410672,0.334589912,2,181,5,1,0,0,product_mng,low,NE15042
0.537849447,0.122914093,2,208,2,0,0,0,IT,high,NE15043
