Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;23;TOR;33;9;23;4;8.2;0.489;0.5;2.2;0.254;3.5;6;0.573;0.522;1.9;2.7;0.697;2.1;4.3;6.4;1.1;0.7;0.7;1.2;2.2;10.4
2;Steven Adams;C;29;MEM;42;42;27;3.7;6.3;0.597;0;0;0;3.7;6.2;0.599;0.597;1.1;3.1;0.364;5.1;6.5;11.5;2.3;0.9;1.1;1.9;2.3;8.6
3;Bam Adebayo;C;25;MIA;52;52;35.3;8.6;15.7;0.546;0;0.2;0.091;8.5;15.5;0.552;0.547;4.5;5.5;0.806;2.7;7.3;10.1;3.3;1.2;0.8;2.6;2.8;21.6
4;Ochai Agbaji;SG;22;UTA;35;1;14;1.5;3.2;0.486;0.7;1.9;0.394;0.8;1.3;0.622;0.604;0.3;0.5;0.625;0.6;1;1.6;0.5;0.1;0.1;0.3;1.4;4.1
5;Santi Aldama;PF;22;MEM;52;18;22;3.4;7;0.486;1.4;3.7;0.374;2;3.3;0.61;0.584;1.4;1.9;0.73;1;3.7;4.7;1.2;0.7;0.7;0.7;1.9;9.5
6;Nickeil Alexander-Walker;SG;24;TOT;37;3;14.3;2.2;4.6;0.485;0.9;2.4;0.402;1.3;2.3;0.571;0.588;0.7;1.1;0.692;0.2;1.4;1.6;2.1;0.6;0.4;1.2;1.6;6.2
6;Nickeil Alexander-Walker;SG;24;UTA;36;3;14.7;2.3;4.7;0.488;1;2.4;0.402;1.3;2.3;0.578;0.591;0.8;1.1;0.692;0.2;1.4;1.6;2.1;0.7;0.4;1.3;1.6;6.3
6;Nickeil Alexander-Walker;SG;24;MIN;1;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
7;Grayson Allen;SG;27;MIL;52;50;27.5;3.4;7.6;0.443;2;4.9;0.403;1.4;2.8;0.514;0.572;1.7;1.9;0.899;0.9;2.5;3.4;2.4;0.8;0.2;1.1;1.6;10.4
8;Jarrett Allen;C;24;CLE;52;52;33.1;6.2;9.4;0.653;0;0.2;0.125;6.1;9.3;0.662;0.654;2.4;3.4;0.709;3.1;6.8;9.9;1.7;0.8;1.2;1.6;2.2;14.7
9;Jose Alvarado;PG;24;NOP;56;9;21.6;3.3;8.1;0.409;1.4;4.1;0.342;1.9;3.9;0.48;0.497;1.2;1.4;0.813;0.4;1.9;2.4;3.1;1.1;0.2;1.4;2;9.2
10;Kyle Anderson;PF;29;MIN;46;31;26;3;6;0.504;0.6;1.4;0.446;2.4;4.6;0.521;0.556;1.6;2.1;0.76;0.8;4;4.7;4;1.2;0.8;1.4;2.2;8.3
11;Giannis Antetokounmpo;PF;28;MIL;45;45;33.3;11.5;21.3;0.542;0.8;3;0.27;10.7;18.2;0.587;0.561;8.5;13.1;0.648;2.4;9.9;12.3;5.4;0.8;0.8;4;3.4;32.4
12;Thanasis Antetokounmpo;SF;30;MIL;24;0;4.1;0.2;0.7;0.235;0;0.2;0;0.2;0.5;0.308;0.235;0.1;0.3;0.5;0.3;0.7;1;0.2;0.1;0.1;0.3;0.5;0.5
13;Cole Anthony;PG;22;ORL;39;3;25.1;4.2;9.5;0.443;1.1;3.3;0.331;3.1;6.2;0.502;0.5;2.5;2.9;0.884;0.6;4;4.6;4.1;0.6;0.6;1.5;2.5;12
14;OG Anunoby;SF;25;TOR;45;45;35.8;6.3;13.7;0.457;1.9;5.2;0.366;4.4;8.5;0.513;0.527;2.4;3;0.821;1.5;4;5.5;2;2.1;0.8;2.2;3;16.9
